Rk,Player,Pos,Team,Gms,Targets,Rec,Pct,Yds,TD,Long,Yds/Target,Yds/Rec,Rush,Yds,TD,Fum,Lost,PPG,Fantasy Points
1,Antonio Brown,WR,PIT,16,182.6,112,61.2,"1,489",9,0,8.1,13.3,3,14,0,1,1,12.6,202.3
2,Julio Jones,WR,ATL,16,142.6,99,69.2,"1,498",8,0,10.5,15.1,0,0,0,1,1,12.2,195.8
3,Odell Beckham Jr,WR,NYG,16,162,97,59.9,"1,319",10,0,8.1,13.6,0.5,2,0,1,1,11.9,190.1
4,Jordy Nelson,WR,GB,16,154.9,89,57.4,"1,217",11,0,7.9,13.7,0,0,0,1,1,11.6,185.7
5,Mike Evans,WR,TB,16,135,90,66.7,"1,287",9,0,9.5,14.3,0,0,0,1,1,11.3,180.7
6,AJ Green,WR,CIN,16,130.1,91,70,"1,333",8,0,10.3,14.6,0,0,0,1,1,11.2,179.3
7,Michael Thomas,WR,NO,16,144.8,94,64.8,"1,180",9,0,8.1,12.6,0,0,0,1,1,10.6,170
8,Dez Bryant,WR,DAL,16,112.5,74,66.1,"1,063",10,0,9.5,14.4,0,0,0,1,1,10.3,164.3
9,Amari Cooper,WR,OAK,16,118.2,85,72,"1,193",7,0,10.1,14,1,5,0,1,1,10,159.8
10,TY Hilton,WR,IND,16,119.5,83,69.2,"1,242",6,0,10.4,15,0,0,0,1,1,9.9,158.2
11,Brandin Cooks,WR,NE,16,117.3,82,70.1,"1,143",7,0,9.8,13.9,5,30,0,1,1,9.8,157.3
12,DeAndre Hopkins,WR,HOU,16,140.3,83,59.3,"1,138",6,0,8.1,13.7,0,0,0,1,1,9.2,147.8
13,Demaryius Thomas,WR,DEN,16,125.6,86,68.3,"1,141",6,0,9.1,13.3,0,0,0,2,2,9.1,146.1
14,Doug Baldwin,WR,SEA,16,131.1,83,63.4,"1,055",7,0,8.1,12.7,1,6,0,1,1,9.1,146.1
15,Michael Crabtree,WR,OAK,16,131.6,86,65.2,982,8,0,7.4,11.4,0,0,0,1,1,9,144.2
16,Golden Tate,WR,DET,16,142.4,89,62.7,"1,047",6,0,7.4,11.8,7,35,0,1,1,8.9,142.2
17,Allen Robinson,WR,JAX,16,132,75,56.8,"1,012",7,0,7.7,13.5,0,0,0,1,1,8.8,141.2
18,Terrelle Pryor,WR,WAS,16,102.2,71,69.6,986,7,0,9.7,13.9,1,6,0,0,0,8.8,141.2
19,Emmanuel Sanders,WR,DEN,16,110.2,76,69.1,"1,026",6,0,9.3,13.5,1,2,0,1,1,8.6,136.8
20,Alshon Jeffery,WR,PHI,16,109.5,74,67.3,"1,026",6,0,9.3,13.9,0.3,1,0,1,1,8.5,136.7
21,Davante Adams,WR,GB,16,94.4,71,75.5,906,8,0,9.6,12.8,0.3,1,0,1,1,8.5,136.7
22,Kelvin Benjamin,WR,CAR,16,115.9,67,57.8,937,7,0,8.1,14,0,0,0,1,1,8.4,133.7
23,Tyreek Hill,WR,KC,16,102.9,73,70.9,772,6,0,7.5,10.6,23,154,1,1,1,8.3,132.6
24,Larry Fitzgerald,WR,ARI,16,126,92,73,985,6,0,7.8,10.7,0,0,0,1,1,8.3,132.5
25,Martavis Bryant,WR,PIT,16,103.7,61,58.7,889,7,0,8.5,14.6,3,16,0,1,1,8.2,130.5
26,Keenan Allen,WR,LAC,16,142.8,84,58.7,969,6,0,6.8,11.5,0,0,0,2,2,8.1,128.9
27,Sammy Watkins,WR,LAR,16,87.1,65,74.7,932,6,0,10.7,14.3,0,0,0,1,1,8,127.2
28,Jarvis Landry,WR,MIA,16,156.6,88,56.1,988,5,0,6.3,11.2,4,20,0,2,2,7.9,126.8
29,Willie Snead,WR,NO,16,102.9,74,71.8,950,5,0,9.2,12.8,0,0,0,1,1,7.7,123
30,Stefon Diggs,WR,MIN,16,142.8,83,58,933,5,0,6.5,11.2,3,16,0,1,1,7.7,122.9
31,Devante Parker,WR,MIA,16,96,64,66.7,887,6,0,9.2,13.9,0,0,0,1,1,7.7,122.7
32,Jamison Crowder,WR,WAS,16,132.8,75,56.4,924,5,0,6.9,12.3,2,14,0,1,1,7.6,121.8
33,Pierre Garcon,WR,SF,16,133.5,75,56,928,5,0,6.9,12.4,0,0,0,1,1,7.6,120.8
34,Brandon Marshall,WR,NYG,16,114.2,66,57.9,846,6,0,7.4,12.8,0,0,0,1,1,7.4,118.6
35,Randall Cobb,WR,GB,16,122.1,71,58.2,791,6,0,6.5,11.1,6,36,0,1,1,7.3,116.7
36,DeSean Jackson,WR,TB,16,89.1,55,61.8,880,5,0,9.9,16,1,4,0,1,1,7.3,116.4
37,Kenny Britt,WR,CLE,16,83.2,63,75.9,870,5,0,10.5,13.8,0.3,1,0,1,1,7.2,115.1
38,Mike Wallace,WR,BAL,16,100.1,65,65,830,5,0,8.3,12.8,3,19,0,1,1,7.1,112.9
39,Cameron Meredith,WR,CHI,16,95.2,68,71.6,848,5,0,8.9,12.5,1,9,0,2,2,7,111.7
40,Eric Decker,WR,TEN,16,89.3,58,65.2,775,6,0,8.7,13.4,0,0,0,1,1,7,111.5
41,Adam Thielen,WR,MIN,16,87.1,65,74.7,819,5,0,9.4,12.6,2,14,0,1,1,7,111.3
42,Tyrell Williams,WR,LAC,16,72.1,55,76.4,813,5,0,11.3,14.8,0,0,0,1,1,6.8,109.3
43,Donte Moncrief,WR,IND,16,102.9,62,60.2,736,6,0,7.1,11.9,1,7,0,1,1,6.8,108.3
44,Jeremy Maclin,WR,BAL,16,114.3,71,62.3,855,4,0,7.5,12,1,7,0,1,1,6.8,108.2
45,Jordan Matthews,WR,BUF,16,115.1,65,56.5,789,5,0,6.9,12.1,0.5,2,0,1,1,6.7,107.1
46,Marvin Jones,WR,DET,16,89,53,59.6,770,5,0,8.7,14.5,1,1,0,0,0,6.7,107.1
47,Rishard Matthews,WR,TEN,16,96.8,55,56.7,772,5,0,8,14,0.3,1,0,1,1,6.6,105.3
48,Ted Ginn,WR,NO,16,84,50,59.5,708,5,0,8.4,14.2,3,23,0,1,1,6.3,101.1
49,Robby Anderson,WR,NYJ,16,75.8,57,75,770,4,0,10.1,13.5,2,17,0,1,1,6.3,100.7
50,Corey Davis,WR,TEN,16,84.3,53,63.1,701,5,0,8.3,13.2,0,0,0,0,0,6.3,100.1
